date,strain,mRNA1,mRNA2,embryoID,channel,xpoint,timepoints,intensity,unique_id,aligned_row
250806,N2,imb2,set3,02,ch1,102,10.8252,9423.8262,250806_N2_imb2_set3_02_ch1,42
250806,N2,imb2,set3,02,ch1,103,10.9324,9326.8418,250806_N2_imb2_set3_02_ch1,43
250806,N2,imb2,set3,02,ch1,104,11.0395,9280.8096,250806_N2_imb2_set3_02_ch1,44
250806,N2,imb2,set3,02,ch1,105,11.1467,9199.0762,250806_N2_imb2_set3_02_ch1,45
250806,N2,imb2,set3,02,ch1,106,11.2539,9088.0029,250806_N2_imb2_set3_02_ch1,46
250806,N2,imb2,set3,02,ch1,107,11.3611,8982.5225,250806_N2_imb2_set3_02_ch1,47
250806,N2,imb2,set3,02,ch1,108,11.4683,8882.0898,250806_N2_imb2_set3_02_ch1,48
250806,N2,imb2,set3,02,ch1,109,11.5754,8729.3926,250806_N2_imb2_set3_02_ch1,49
250806,N2,imb2,set3,02,ch1,110,11.6826,8624.7686,250806_N2_imb2_set3_02_ch1,50
250806,N2,imb2,set3,02,ch1,111,11.7898,8568.8174,250806_N2_imb2_set3_02_ch1,51
250806,N2,imb2,set3,02,ch1,112,11.897,8522.8691,250806_N2_imb2_set3_02_ch1,52
250806,N2,imb2,set3,02,ch1,113,12.0042,8498.4365,250806_N2_imb2_set3_02_ch1,53
250806,N2,imb2,set3,02,ch1,114,12.1113,8455.6299,250806_N2_imb2_set3_02_ch1,54
250806,N2,imb2,set3,02,ch1,115,12.2185,8422.5938,250806_N2_imb2_set3_02_ch1,55
250806,N2,imb2,set3,02,ch1,116,12.3257,8441.0264,250806_N2_imb2_set3_02_ch1,56
250806,N2,imb2,set3,02,ch1,117,12.4329,8496.3994,250806_N2_imb2_set3_02_ch1,57
250806,N2,imb2,set3,02,ch1,118,12.5401,8595.7783,250806_N2_imb2_set3_02_ch1,58
250806,N2,imb2,set3,02,ch1,119,NA,NA,250806_N2_imb2_set3_02_ch1,59
250806,N2,imb2,set3,02,ch2,1,0,7901.3779,250806_N2_imb2_set3_02_ch2,-59
250806,N2,imb2,set3,02,ch2,2,0.1072,7922.0454,250806_N2_imb2_set3_02_ch2,-58
250806,N2,imb2,set3,02,ch2,3,0.2144,7945.9189,250806_N2_imb2_set3_02_ch2,-57
250806,N2,imb2,set3,02,ch2,4,0.3215,7961.606,250806_N2_imb2_set3_02_ch2,-56
250806,N2,imb2,set3,02,ch2,5,0.4287,7965.7173,250806_N2_imb2_set3_02_ch2,-55
250806,N2,imb2,set3,02,ch2,6,0.5359,7984.8101,250806_N2_imb2_set3_02_ch2,-54
250806,N2,imb2,set3,02,ch2,7,0.6431,8014.6577,250806_N2_imb2_set3_02_ch2,-53
250806,N2,imb2,set3,02,ch2,8,0.7503,8044.3516,250806_N2_imb2_set3_02_ch2,-52
250806,N2,imb2,set3,02,ch2,9,0.8574,8051.6558000000005,250806_N2_imb2_set3_02_ch2,-51
250806,N2,imb2,set3,02,ch2,10,0.9646,8061.376,250806_N2_imb2_set3_02_ch2,-50
250806,N2,imb2,set3,02,ch2,11,1.0718,8080.8018,250806_N2_imb2_set3_02_ch2,-49
250806,N2,imb2,set3,02,ch2,12,1.179,8093.7905,250806_N2_imb2_set3_02_ch2,-48
250806,N2,imb2,set3,02,ch2,13,1.2862,8124.0186,250806_N2_imb2_set3_02_ch2,-47
250806,N2,imb2,set3,02,ch2,14,1.3933,8140.7026,250806_N2_imb2_set3_02_ch2,-46
250806,N2,imb2,set3,02,ch2,15,1.5005,8181.9009,250806_N2_imb2_set3_02_ch2,-45
250806,N2,imb2,set3,02,ch2,16,1.6077,8206.4648,250806_N2_imb2_set3_02_ch2,-44
250806,N2,imb2,set3,02,ch2,17,1.7149,8217.6074,250806_N2_imb2_set3_02_ch2,-43
250806,N2,imb2,set3,02,ch2,18,1.8221,8241.2041,250806_N2_imb2_set3_02_ch2,-42
250806,N2,imb2,set3,02,ch2,19,1.9292,8260.2031,250806_N2_imb2_set3_02_ch2,-41
250806,N2,imb2,set3,02,ch2,20,2.0364,8262.1572,250806_N2_imb2_set3_02_ch2,-40
250806,N2,imb2,set3,02,ch2,21,2.1436,8291.5762,250806_N2_imb2_set3_02_ch2,-39
250806,N2,imb2,set3,02,ch2,22,2.2508,8321.1543,250806_N2_imb2_set3_02_ch2,-38
250806,N2,imb2,set3,02,ch2,23,2.358,8352.1797,250806_N2_imb2_set3_02_ch2,-37
