date,strain,mRNA1,mRNA2,embryoID,channel,xpoint,timepoints,intensity,unique_id,aligned_row
231206,U2OS,gapdh,tnpo1,image01,ch1,59,6.2164,3741.6892,231206_U2OS_gapdh_tnpo1_image01_ch1,-32
231206,U2OS,gapdh,tnpo1,image01,ch1,60,6.3236,3728.5984,231206_U2OS_gapdh_tnpo1_image01_ch1,-31
231206,U2OS,gapdh,tnpo1,image01,ch1,61,6.4308,3737.6057,231206_U2OS_gapdh_tnpo1_image01_ch1,-30
231206,U2OS,gapdh,tnpo1,image01,ch1,62,6.538,3762.1235,231206_U2OS_gapdh_tnpo1_image01_ch1,-29
231206,U2OS,gapdh,tnpo1,image01,ch1,63,6.6452,3778.9995,231206_U2OS_gapdh_tnpo1_image01_ch1,-28
231206,U2OS,gapdh,tnpo1,image01,ch1,64,6.7523,3796.0278,231206_U2OS_gapdh_tnpo1_image01_ch1,-27
231206,U2OS,gapdh,tnpo1,image01,ch1,65,6.8595,3794.5276,231206_U2OS_gapdh_tnpo1_image01_ch1,-26
231206,U2OS,gapdh,tnpo1,image01,ch1,66,6.9667,3762.2856,231206_U2OS_gapdh_tnpo1_image01_ch1,-25
231206,U2OS,gapdh,tnpo1,image01,ch1,67,7.0739,3719.9253,231206_U2OS_gapdh_tnpo1_image01_ch1,-24
231206,U2OS,gapdh,tnpo1,image01,ch1,68,7.1811,3683.6375,231206_U2OS_gapdh_tnpo1_image01_ch1,-23
231206,U2OS,gapdh,tnpo1,image01,ch1,69,7.2882,3672.3198,231206_U2OS_gapdh_tnpo1_image01_ch1,-22
231206,U2OS,gapdh,tnpo1,image01,ch1,70,7.3954,3672.6604,231206_U2OS_gapdh_tnpo1_image01_ch1,-21
231206,U2OS,gapdh,tnpo1,image01,ch1,71,7.5026,3680.7419,231206_U2OS_gapdh_tnpo1_image01_ch1,-20
231206,U2OS,gapdh,tnpo1,image01,ch1,72,7.6098,3689.6672,231206_U2OS_gapdh_tnpo1_image01_ch1,-19
231206,U2OS,gapdh,tnpo1,image01,ch1,73,7.717,3702.3611,231206_U2OS_gapdh_tnpo1_image01_ch1,-18
231206,U2OS,gapdh,tnpo1,image01,ch1,74,7.8241,3710.4407,231206_U2OS_gapdh_tnpo1_image01_ch1,-17
231206,U2OS,gapdh,tnpo1,image01,ch1,75,7.9313,3728.7009,231206_U2OS_gapdh_tnpo1_image01_ch1,-16
231206,U2OS,gapdh,tnpo1,image01,ch1,76,8.0385,3740.9326,231206_U2OS_gapdh_tnpo1_image01_ch1,-15
231206,U2OS,gapdh,tnpo1,image01,ch1,77,8.1457,3755.6045,231206_U2OS_gapdh_tnpo1_image01_ch1,-14
231206,U2OS,gapdh,tnpo1,image01,ch1,78,8.2529,3768.2993,231206_U2OS_gapdh_tnpo1_image01_ch1,-13
231206,U2OS,gapdh,tnpo1,image01,ch1,79,8.36,3788.4771,231206_U2OS_gapdh_tnpo1_image01_ch1,-12
231206,U2OS,gapdh,tnpo1,image01,ch1,80,8.4672,3831.9189,231206_U2OS_gapdh_tnpo1_image01_ch1,-11
231206,U2OS,gapdh,tnpo1,image01,ch1,81,8.5744,3879.2092,231206_U2OS_gapdh_tnpo1_image01_ch1,-10
231206,U2OS,gapdh,tnpo1,image01,ch1,82,8.6816,3919.937,231206_U2OS_gapdh_tnpo1_image01_ch1,-9
231206,U2OS,gapdh,tnpo1,image01,ch1,83,8.7888,3944.6311,231206_U2OS_gapdh_tnpo1_image01_ch1,-8
231206,U2OS,gapdh,tnpo1,image01,ch1,84,8.8959,3987.0149,231206_U2OS_gapdh_tnpo1_image01_ch1,-7
231206,U2OS,gapdh,tnpo1,image01,ch1,85,9.0031,4083.853,231206_U2OS_gapdh_tnpo1_image01_ch1,-6
231206,U2OS,gapdh,tnpo1,image01,ch1,86,9.1103,4199.6714,231206_U2OS_gapdh_tnpo1_image01_ch1,-5
231206,U2OS,gapdh,tnpo1,image01,ch1,87,9.2175,4299.4419,231206_U2OS_gapdh_tnpo1_image01_ch1,-4
231206,U2OS,gapdh,tnpo1,image01,ch1,88,9.3247,4356.8096,231206_U2OS_gapdh_tnpo1_image01_ch1,-3
231206,U2OS,gapdh,tnpo1,image01,ch1,89,9.4318,4393.1206,231206_U2OS_gapdh_tnpo1_image01_ch1,-2
231206,U2OS,gapdh,tnpo1,image01,ch1,90,9.539,4444.1929,231206_U2OS_gapdh_tnpo1_image01_ch1,-1
