"date","embryoID","channel","aligned_row","normalized_intensity"
"231206","image02","ch1",77,0.964342251488835
"231206","image02","ch1",78,0.956790880628681
"231206","image02","ch1",79,0.957753234688766
"231206","image02","ch1",80,0.96518948500777
"231206","image02","ch1",81,0.981128613283055
"231206","image02","ch1",82,1.0013435291161
"231206","image02","ch1",83,1.02005756767326
"231206","image02","ch1",84,1.0385726215311
"231206","image02","ch1",85,1.0564808163002
"231206","image02","ch1",86,1.0750471648797
"231206","image02","ch1",87,1.08772926386989
"231206","image02","ch1",88,1.08572925498414
"231206","image02","ch1",89,1.07605564708124
"231206","image02","ch1",90,1.05817893705225
"231206","image02","ch1",91,NA
"231206","image02","ch2",-90,1.09765322571622
"231206","image02","ch2",-89,1.09988477804885
"231206","image02","ch2",-88,1.10704162872579
"231206","image02","ch2",-87,1.10813245810194
"231206","image02","ch2",-86,1.10658163996446
"231206","image02","ch2",-85,1.10396565144892
"231206","image02","ch2",-84,1.09974910731595
"231206","image02","ch2",-83,1.09633154340738
"231206","image02","ch2",-82,1.09313893964258
"231206","image02","ch2",-81,1.0919347423737
"231206","image02","ch2",-80,1.09010268990954
"231206","image02","ch2",-79,1.089814099353
"231206","image02","ch2",-78,1.08674487341708
"231206","image02","ch2",-77,1.08374177549983
"231206","image02","ch2",-76,1.08476255483555
"231206","image02","ch2",-75,1.08257357887846
"231206","image02","ch2",-74,1.0854515038126
"231206","image02","ch2",-73,1.09372821853425
"231206","image02","ch2",-72,1.09877748008381
"231206","image02","ch2",-71,1.1053287588931
"231206","image02","ch2",-70,1.10929329849343
"231206","image02","ch2",-69,1.11175437690562
"231206","image02","ch2",-68,1.11966905584728
"231206","image02","ch2",-67,1.12699207536664
"231206","image02","ch2",-66,1.12960234670617
"231206","image02","ch2",-65,1.13569506117
"231206","image02","ch2",-64,1.13572364705001
"231206","image02","ch2",-63,1.13512388992109
"231206","image02","ch2",-62,1.13096155164113
"231206","image02","ch2",-61,1.123954089017
"231206","image02","ch2",-60,1.11387884438536
"231206","image02","ch2",-59,1.10405720431514
"231206","image02","ch2",-58,1.09604790903753
"231206","image02","ch2",-57,1.08767353402274
"231206","image02","ch2",-56,1.08200783211737
"231206","image02","ch2",-55,1.07616999053047
"231206","image02","ch2",-54,1.07212474703954
"231206","image02","ch2",-53,1.06713113527141
"231206","image02","ch2",-52,1.06586225391226
"231206","image02","ch2",-51,1.06225596465799
"231206","image02","ch2",-50,1.06208454694066
"231206","image02","ch2",-49,1.06172069649388
"231206","image02","ch2",-48,1.06353399740125
"231206","image02","ch2",-47,1.06190590958128
"231206","image02","ch2",-46,1.05949694917968
"231206","image02","ch2",-45,1.05927475981745
"231206","image02","ch2",-44,1.05568486110188
"231206","image02","ch2",-43,1.05089751645838
"231206","image02","ch2",-42,1.04944199759596
"231206","image02","ch2",-41,1.04777094314953
"231206","image02","ch2",-40,1.05056882761963
"231206","image02","ch2",-39,1.05601460361812
"231206","image02","ch2",-38,1.06285542909871
"231206","image02","ch2",-37,1.06570982190227
"231206","image02","ch2",-36,1.06788839767229
"231206","image02","ch2",-35,1.06831398581488
"231206","image02","ch2",-34,1.06881590703774
"231206","image02","ch2",-33,1.06691971683461
"231206","image02","ch2",-32,1.06735303194545
"231206","image02","ch2",-31,1.06686160847238
"231206","image02","ch2",-30,1.07076934705107
"231206","image02","ch2",-29,1.07090140796295
"231206","image02","ch2",-28,1.07290097563522
"231206","image02","ch2",-27,1.07350321085748
"231206","image02","ch2",-26,1.07600097285631
"231206","image02","ch2",-25,1.07674334718453
"231206","image02","ch2",-24,1.07815191886108
"231206","image02","ch2",-23,1.08136567422582
"231206","image02","ch2",-22,1.08451921387336
"231206","image02","ch2",-21,1.08816677216259
"231206","image02","ch2",-20,1.08779509718483
"231206","image02","ch2",-19,1.08254938332132
"231206","image02","ch2",-18,1.07762685575856
"231206","image02","ch2",-17,1.07426427820485
"231206","image02","ch2",-16,1.07231596999114
"231206","image02","ch2",-15,1.07302035339214
"231206","image02","ch2",-14,1.07205216036812
"231206","image02","ch2",-13,1.0681348801544
"231206","image02","ch2",-12,1.05905754615446
"231206","image02","ch2",-11,1.05701778263727
"231206","image02","ch2",-10,1.05742393628396
"231206","image02","ch2",-9,1.05589475756008
"231206","image02","ch2",-8,1.05344320127038
"231206","image02","ch2",-7,1.04752151427296
"231206","image02","ch2",-6,1.04017020156178
"231206","image02","ch2",-5,1.03299448225278
"231206","image02","ch2",-4,1.02977290235706
"231206","image02","ch2",-3,1.02642367138487
"231206","image02","ch2",-2,1.02171492327698
"231206","image02","ch2",-1,1.01728688265702
"231206","image02","ch2",0,1.01585001778866
"231206","image02","ch2",1,1.01768770937863
"231206","image02","ch2",2,1.02046510567536
"231206","image02","ch2",3,1.02531083185674
"231206","image02","ch2",4,1.03414207362549
"231206","image02","ch2",5,1.04035416584624
"231206","image02","ch2",6,1.04848303400623
"231206","image02","ch2",7,1.05708342284229
